,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,+/-,Salary,Gender,Pick,UnDraft
75,Kristy Wallace,ATL,27,29,13,16,20.8,6.6,-2.3,66390,0,16,0
76,Lexie Brown,LAS,28,34,13,21,25.0,7.1,-3.6,72141,0,9,0
77,Lexie Hull,IND,23,26,3,23,12.9,3.8,-4.3,72501,0,6,0
78,Li Yueru,CHI,24,16,13,3,5.1,1.8,-1.3,62307,0,35,0
79,Lindsay Allen,MIN,28,9,4,5,14.8,6.7,-1.4,2678,0,14,0
80,Marina Mabrey,DAL,26,34,18,16,28.0,13.6,-0.1,47381,0,19,0
81,Maya Caldwell,ATL,24,9,3,6,23.7,10.9,-2.2,1796,0,33,0
82,Megan Gustafson,PHO,26,33,13,20,9.6,3.8,-1.1,72141,0,17,0
83,Mercedes Russell,SEA,27,5,3,2,10.7,2.0,-8.8,160000,0,22,0
84,Michaela Onyenwere,NYL,23,34,16,18,13.7,4.7,0.6,70389,0,6,0
85,Monique Billings,ATL,27,23,9,14,17.4,6.5,-0.4,140000,0,15,0
86,Moriah Jefferson,MIN,29,31,13,18,26.1,10.4,-2.0,67141,0,2,0
87,Myisha Hines-Allen,WAS,27,34,20,14,19.3,8.9,0.3,175100,0,19,0
88,NaLyssa Smith,IND,22,32,5,27,30.7,13.5,-8.2,75556,0,2,0
89,Napheesa Collier,MIN,26,4,2,2,22.7,7.3,-3.8,184172,0,6,0
90,Natalie Achonwa,MIN,30,22,11,11,15.1,5.3,-0.3,159867,0,9,0
91,Natasha Cloud,WAS,31,34,21,13,31.3,10.7,4.1,188333,0,15,0
92,Natasha Howard,NYL,31,35,16,19,29.9,15.1,-0.7,224675,0,5,0
93,Natisha Hiedeman,CON,26,36,25,11,25.0,9.1,6.4,72141,0,18,0
94,Naz Hillmon,ATL,23,34,12,22,19.8,4.4,-0.8,66390,0,15,0
95,Nia Clouden,CON,23,28,19,9,8.9,2.1,0.4,69446,0,12,0
96,Nia Coffey,ATL,28,16,7,9,21.0,6.4,-4.9,130000,0,5,0
97,Nneka Ogwumike,LAS,32,34,13,21,31.4,18.1,-3.7,193409,0,1,0
98,Odyssey Sims,CON,30,7,4,3,20.8,6.9,0.3,2678,0,2,0
99,Olivia Nelson-Ododa,LAS,22,30,10,20,14.5,4.0,-5.6,66390,0,19,0
100,Queen Egbo,IND,23,33,5,28,21.8,7.2,-4.3,69446,0,10,0
101,Rachel Banham,MIN,29,36,14,22,17.5,7.9,1.2,72141,0,4,0
102,Rae Burrell,LAS,23,3,2,1,14.5,1.7,-1.7,69446,0,9,0
103,Rebecca Allen,NYL,30,25,11,14,20.9,7.0,-1.2,138925,0,,1
104,Rebekah Gardner,CHI,32,35,26,9,21.7,8.4,0.5,60471,0,,1
105,Rennia Davis,IND,24,8,0,8,5.4,1.3,-0.6,18560,0,9,0
106,Reshanda Gray,PHO,30,27,13,14,8.8,2.2,-1.0,19999,0,16,0
107,Rhyne Howard,ATL,23,34,13,21,31.3,16.2,-4.4,75556,0,1,0
108,Riquna Williams,LVA,33,21,15,6,18.0,6.7,2.5,147175,0,17,0
109,Rui Machida,WAS,30,36,22,14,12.9,1.8,0.1,60471,0,,1
110,Ruthy Hebard,CHI,25,24,17,7,9.7,2.3,-0.8,68339,0,8,0
111,Sabrina Ionescu,NYL,25,36,16,20,32.3,17.4,-1.1,71199,0,1,0
112,Sam Thomas,PHO,24,24,9,15,4.9,0.4,-1.0,60471,0,,1
113,Sami Whitcomb,NYL,34,35,16,19,21.3,6.5,-2.2,150350,0,,1
114,Satou Sabally,DAL,25,11,4,7,21.7,11.3,-0.2,71199,0,2,0
115,Shakira Austin,WAS,22,36,22,14,21.6,8.7,2.9,75556,0,3,0
116,Shatori Walker-Kimbrough,WAS,28,35,21,14,20.1,6.9,2.8,72141,0,6,0
117,Shey Peddy,PHO,34,34,15,19,28.7,9.9,0.2,72141,0,23,0
118,Skylar Diggins-Smith,PHO,32,30,13,17,34.0,19.7,-1.0,224870,0,3,0
119,Sophie Cunningham,PHO,26,28,12,16,29.5,12.6,-1.5,75000,0,13,0
120,Stefanie Dolson,NYL,31,36,16,20,23.0,8.1,-1.2,160000,0,6,0
121,Stephanie Talbot,SEA,29,34,20,14,16.1,5.0,-0.3,72141,0,33,0
122,Sue Bird,SEA,42,31,18,13,26.4,7.8,4.9,72141,0,1,0
123,Sydney Colson,LVA,33,18,15,3,6.8,1.6,-3.7,72141,0,16,0
124,Sylvia Fowles,MIN,37,30,13,17,27.7,14.4,-0.8,200000,0,2,0
125,Teaira McCowan,DAL,26,33,17,16,18.9,11.0,2.2,42189,0,3,0
126,Theresa Plaisance,LVA,31,31,22,9,12.9,4.0,-1.4,72141,0,27,0
127,Tianna Hawkins,WAS,32,25,15,10,12.8,4.9,-0.1,72141,0,6,0
128,Tiffany Hayes,ATL,33,11,4,7,27.5,16.2,-4.4,215000,0,14,0
129,Tiffany Mitchell,IND,28,34,5,29,16.2,6.5,-5.3,144242,0,9,0
130,Tina Charles,SEA,34,34,16,18,28.9,14.8,-0.3,34285,0,1,0
131,Tyasha Harris,DAL,25,35,17,18,15.8,5.0,0.4,68339,0,7,0
132,Veronica Burton,DAL,22,36,18,18,15.2,2.6,1.1,72501,0,7,0
133,Victoria Vivians,IND,28,35,5,30,26.9,9.8,-7.1,72141,0,8,0
134,Yvonne Turner,PHO,35,9,1,8,15.4,4.0,-3.2,3750,0,,1
135,Brook Lopez,MIL,35,78,57,21,30.4,15.9,5.1,13906976,1,10.0,0
136,Derrick White,BOS,28,82,57,25,28.3,12.4,6.0,16892857,1,29.0,0
137,Jevon Carter,MIL,27,81,57,24,22.4,8.0,0.8,2100000,1,32.0,0
138,Grant Williams,BOS,24,79,55,24,25.9,8.1,2.6,4306281,1,22.0,0
139,Sam Hauser,BOS,25,80,55,25,16.1,6.4,2.7,1563518,1,,1
140,Bruce Brown,DEN,26,80,53,27,28.5,11.5,0.4,6479000,1,,1
141,Grayson Allen,MIL,27,72,53,19,27.4,10.4,3.2,8500000,1,21.0,0
142,Jayson Tatum,BOS,25,74,52,22,36.9,30.1,6.4,28103500,1,3.0,0
143,Shake Milton,PHI,26,76,52,24,20.6,8.4,1.9,1977718,1,54.0,0
144,Georges Niang,PHI,30,78,51,27,19.4,8.2,1.0,3465000,1,50.0,0
145,Kentavious Caldwell-Pope,DEN,30,76,51,25,31.3,10.8,6.5,14004703,1,8.0,0
